-1.1897020,-2.0575240,2.1464622
-1.2286923,-2.2531082,2.1490726
-1.2500673,-2.4478347,2.1506534
-1.2581002,-2.6450736,2.1512156
-1.2462429,-2.8431115,2.1511655
-1.2101602,-3.0382513,2.1509484
-1.1485233,-3.2277647,2.1508260
-1.0618697,-3.4078612,2.1509024
-0.9525364,-3.5741423,2.1512792
-0.8230085,-3.7241518,2.1519725
-0.6747926,-3.8568462,2.1527227
-0.5111012,-3.9696181,2.1534779
-0.3346442,-4.0608417,2.1538535
-0.1478387,-4.1292001,2.1538441
0.0456110,-4.1731480,2.1534673
0.2434188,-4.1918004,2.1525823
0.4429360,-4.1842059,2.1513958
0.6391514,-4.1501629,2.1500528
0.8281534,-4.0907193,2.1486183
1.0076871,-4.0078099,2.1471684
1.1772581,-3.9046411,2.1440899
1.3360324,-3.7880247,2.1348992
1.4845142,-3.6615452,2.1356333
1.6184060,-3.5183708,2.1361534
1.7319547,-3.3546205,2.1361300
1.8231429,-3.1737401,2.1359423
1.8888767,-2.9877241,2.1357185
1.9327346,-2.7933942,2.1354965
1.9545981,-2.5943429,2.1352754
1.9548258,-2.3962030,2.1319732
1.9340093,-2.1979152,2.1282655
1.8923888,-2.0034692,2.1237554
1.8296548,-1.8138268,2.1188254
1.7472648,-1.6348516,2.1135857
1.6418415,-1.4629970,2.1078822
1.5170856,-1.3075487,2.1034853
1.3758426,-1.1724382,2.1014847
1.2150016,-1.0564864,2.1065961
1.0397713,-0.9655668,2.1103329
0.8524776,-0.9009374,2.1130382
0.6604870,-0.8628266,2.1151776
0.4634238,-0.8499777,2.1171291
0.2634827,-0.8623366,2.1190195
0.0669057,-0.8986420,2.1208918
-0.1224588,-0.9566688,2.1229184
-0.3058684,-1.0358531,2.1250652
-0.4787191,-1.1338644,2.1275014
-0.6408391,-1.2505256,2.1302372
-0.7874470,-1.3824933,2.1331662
-0.9207759,-1.5332810,2.1364911
-1.0344652,-1.6982037,2.1398612
-1.1246105,-1.8726101,2.1428985
-1.1897020,-2.0575240,2.1464622
